Category,Item,Item Code,Brand,Available Stock,Reorder Level,Price,Total Value,Stock Status
Prostar Version PS-15 White,Prostar Version PS-15 White,PROSTAR-PS15-WHITE,,0,10,68,0,Stock Out
Prostar Version PS-15 Grey,Prostar Version PS-15 Grey,PROSTAR-PS15-GREY,,0,10,68,0,Stock Out
Sunsaver SS-10L-24,Sunsaver SS-10L-24,,,0,10,54,0,Stock Out
Sunslight controller SL-20L-12V,Sunslight controller SL-20L-12V,,,0,10,103,0,Stock Out
CML Solar Charger controller,CML Solar Charger controller,,,0,10,0,0,Stock Out
Sunlight SL-10L-24V,Sunlight SL-10L-24V,,,0,10,79,0,Stock Out
Sunlight SL-10L-12V,Sunlight SL-10L-12V,,,0,10,79,0,Stock Out
"Sunsaver Duo 25A, 12V","Sunsaver Duo 25A, 12V",,,0,10,99,0,Stock Out
PS-MPPT-25 ,PS-MPPT-25 ,,,0,10,68,0,Stock Out
Midnite classic MPPT controller,Midnite classic MPPT controller,,,0,10,0,0,Stock Out
Smart solar MPPT 250/100 TrVE.Can,Smart solar MPPT 250/100 TrVE.Can,,,0,10,398,0,Stock Out
Smart Solar 150/35,Smart Solar 150/35,,,0,10,0,0,Stock Out
SmartSolar 100/20 controller,SmartSolar 100/20 controller,,,0,10,0,0,Stock Out
Bluesolar Charge controller 100/30 ,Bluesolar Charge controller 100/30 ,,,0,10,0,0,Stock Out
Orion-Tr Smart 12/12 18 Isolated DC-DC,Orion-Tr Smart 12/12 18 Isolated DC-DC,,,0,10,0,0,Stock Out
Lynx power in 1000,Lynx power in 1000,,,0,10,122.89,0,Stock Out
Lynx Distributor 1000,Lynx Distributor 1000,,,0,10,175.35,0,Stock Out
Victron Ekrano Gx,Victron Ekrano Gx,,,0,10,0,0,Stock Out
Fuse holder for Mega fuse,Fuse holder for Mega fuse,FH-ANL-MEGA,,0,10,9.66,0,Stock Out
Fuse Switch disconnect 250/30,Fuse Switch disconnect 250/30,FH-MEGA-250,,0,10,19.75,0,Stock Out
Fuse holder df 32A,Fuse holder df 32A,FH-DF-AC-1P-32A-10x38,DF,0,10,3,0,Stock Out
Fuse holder Riken 32A,Fuse holder Riken 32A,RT18‑32X‑1P,Riken,0,10,0,0,Stock Out
Wohner fuse holder 160A,Wohner fuse holder 160A,,,0,10,60,0,Stock Out
Mersen Fuse holder 160A,Mersen Fuse holder 160A,,,0,10,72,0,Stock Out
Fuse link Gg 200A Riken NH1,Fuse link Gg 200A Riken NH1,,RIKEN,0,10,6.76,0,Stock Out
"Fuse link 180A  Riken, NH1","Fuse link 180A  Riken, NH1",,RIKEN,0,10,8.6,0,Stock Out
Fuse link 160A Riken NH1,Fuse link 160A Riken NH1,,RIKEN,0,10,13.44,0,Stock Out
GMC Powerlines fuse 80A,GMC Powerlines fuse 80A,,RIKEN,0,10,8.55,0,Stock Out
Fuse link 160A Riken,Fuse link 160A Riken,NHOO,RIKEN,0,10,5.27,0,Stock Out
Fuse link 100A Riken,Fuse link 100A Riken,NHOO,,0,10,11.05,0,Stock Out
"Fuse switch Disconnector 160/30, Riken","Fuse switch Disconnector 160/30, Riken",,,0,10,37.54,0,Stock Out
"Chint 250A, 500V-120KA fuse","Chint 250A, 500V-120KA fuse",,,0,10,11,0,Stock Out
NH1 Fuse LINK 250A,NH1 Fuse LINK 250A,NH1,RIKEN,0,10,14,0,Stock Out
Fuse 250A Siemens,Fuse 250A Siemens,,,0,10,13,0,Stock Out
NH00 160A,NH00 160A,,,0,10,0,0,Stock Out
df Fuse 160A,df Fuse 160A,NH00,,0,10,5,0,Stock Out
Midi Fuse,Midi Fuse,,,0,10,0,0,Stock Out
Victron Midi-Fuse 30A,Victron Midi-Fuse 30A,,,0,10,12.76,0,Stock Out
DC Fuse 20A,DC Fuse 20A,,,0,10,1.5,0,Stock Out
DC Fuse 32A,DC Fuse 32A,,,0,10,2.25,0,Stock Out
Victron Fuse 300A/80V ANL,Victron Fuse 300A/80V ANL,,,0,10,38.57,0,Stock Out
Mega -Fuse 60A/32V,Mega -Fuse 60A/32V,,,0,10,15,0,Stock Out
Battery switch on/off 48V,Battery switch on/off 48V,,,0,10,26.49,0,Stock Out
Battery Monitor BMV-700,Battery Monitor BMV-700,,,0,10,0,0,Stock Out
Signal Amplifier,Signal Amplifier,,,0,10,25,0,Stock Out
Notebook Power Adaptor Rock-King 96W,Notebook Power Adaptor Rock-King 96W,,,0,10,30,0,Stock Out
Kiwibird 63W fast charger,Kiwibird 63W fast charger,,,0,10,25,0,Stock Out
Wireless monitoring accessory Growatt,Wireless monitoring accessory Growatt,,,0,10,60,0,Stock Out
Kinergy WiFi TBB power,Kinergy WiFi TBB power,,,0,10,60,0,Stock Out
CTK160402,CTK160402,,,0,10,0,0,Stock Out
Auto DC Power Regulator Adaptor 80W,Auto DC Power Regulator Adaptor 80W,,,0,10,35,0,Stock Out
Mini Solar power system,Mini Solar power system,,,0,10,0,0,Stock Out
TPI-150W,TPI-150W,,,0,10,29,0,Stock Out
Universal car and home adaptor for laptop 120W,Universal car and home adaptor for laptop 120W,,,0,10,30,0,Stock Out
Netgear 8-port gigabit Ethernet switch,Netgear 8-port gigabit Ethernet switch,,,0,10,60,0,Stock Out
90W HEAVY Duty universal Laptop Charger,90W HEAVY Duty universal Laptop Charger,,,0,10,35,0,Stock Out
90W HEAVY Duty universal Laptop Charger,90W HEAVY Duty universal Laptop Charger,,,0,10,0,0,Stock Out
"Laptop Adaptor 100W, incomplete","Laptop Adaptor 100W, incomplete",,,0,10,0,0,Stock Out
WI-FI Stick (DB9),WI-FI Stick (DB9),,,0,10,0,0,Stock Out
VE Direct cable 1.8m,VE Direct cable 1.8m,,,0,10,0,0,Stock Out
VE Direct cable 0.9m,VE Direct cable 0.9m,,,0,10,0,0,Stock Out
VE Direct cable 0.3m,VE Direct cable 0.3m,,,0,10,0,0,Stock Out
Victron Ekrano GX,Victron Ekrano GX,,,0,10,392.66,0,Stock Out
Ethernet & WiFi Stick,Ethernet & WiFi Stick,,,0,10,0,0,Stock Out
Can to Inverter cable,Can to Inverter cable,,,0,10,0,0,Stock Out
USB 3.0 Cable  AM 90-AF,USB 3.0 Cable  AM 90-AF,,,0,10,0,0,Stock Out
BAT-Com-CAN,BAT-Com-CAN,,,0,10,0,0,Stock Out
Wl0s Can 35RJ2,Wl0s Can 35RJ2,,,0,10,0,0,Stock Out
Parallel communication line,Parallel communication line,,,0,10,0,0,Stock Out
UTP CAT5e,UTP CAT5e,,,0,10,0,0,Stock Out
CAT5e,CAT5e,,,0,10,0,0,Stock Out
Communication cable CAT 6,Communication cable CAT 6,,,0,10,0.44,0,Stock Out
Armoured cable 16mm2  x 4C,Armoured cable 16mm2  x 4C,,,0,10,12.74,0,Stock Out
Armoured cable 2.5mm2 3 core ,Armoured cable 2.5mm2 3 core ,,,0,10,2.18,0,Stock Out
4mm2 3 core Armoured cable,4mm2 3 core Armoured cable,,,0,10,4,0,Stock Out
4mm2 4 core Armoured cable,4mm2 4 core Armoured cable,,,0,10,4.8,0,Stock Out
10mm2 3 core Armoured cable,10mm2 3 core Armoured cable,,,0,10,8,0,Stock Out
10mm2 5 core Armoured cable,10mm2 5 core Armoured cable,,,0,10,9.8,0,Stock Out
Insulated Earth cable 10mm2 green,Insulated Earth cable 10mm2 green,,,0,10,1.51,0,Stock Out
Earth cable 6mm2,Earth cable 6mm2,,,0,10,0.8,0,Stock Out
2.5mm2 single core Insulated green,2.5mm2 single core Insulated green,,,0,10,0.35,0,Stock Out
SINGLE CORE BLACK,SINGLE CORE BLACK,,,0,10,0,0,Stock Out
2.5mm2 single core Insulated black,2.5mm2 single core Insulated black,,,0,10,0.35,0,Stock Out
6mm2 single core green stranded ,6mm2 single core green stranded ,,,0,10,0.8,0,Stock Out
PV CABLES,PV CABLES,,,0,10,0,0,Stock Out
"Solar PV Cables 4mm2, red","Solar PV Cables 4mm2, red",,,0,10,1.01,0,Stock Out
PV Cable 4MM,PV Cable 4MM,,,0,10,0,0,Stock Out
Solar PV cables 4mm2 black,Solar PV cables 4mm2 black,,,0,10,1.01,0,Stock Out
Solar PV Cable black 2.5mm2  x 2 core,Solar PV Cable black 2.5mm2  x 2 core,,,0,10,2,0,Stock Out
PV Cable 6MM,PV Cable 6MM,,,0,10,0,0,Stock Out
Solar PV cable 6mm2 1core  red,Solar PV cable 6mm2 1core  red,,,0,10,0.84,0,Stock Out
Solar PV cable 6mm2 1core  black,Solar PV cable 6mm2 1core  black,,,0,10,0.84,0,Stock Out
PV Cable 10MM,PV Cable 10MM,,,0,10,0,0,Stock Out
Solar PV cable 10mm2 1 core red,Solar PV cable 10mm2 1 core red,,,0,10,2.05,0,Stock Out
Flex cable 2 core 1.5mm2 white,Flex cable 2 core 1.5mm2 white,,,0,10,0.58,0,Stock Out
Flex cable 6mm2  4 core black,Flex cable 6mm2  4 core black,,,0,10,3.72,0,Stock Out
Flex cable 2 core 2.5mm2,Flex cable 2 core 2.5mm2,,,0,10,1.1,0,Stock Out
Flex cable 2.5mm2 3 core,Flex cable 2.5mm2 3 core,,,0,10,1.27,0,Stock Out
Flex cable 4mm2  2 core,Flex cable 4mm2  2 core,,,0,10,1.75,0,Stock Out
Flex cable 4mm2 4 core ,Flex cable 4mm2 4 core ,,,0,10,2.83,0,Stock Out
10mm2 4 core flex cable,10mm2 4 core flex cable,,,0,10,6.19,0,Stock Out
Welding cable 35mm2 blue,Welding cable 35mm2 blue,,,0,10,7.02,0,Stock Out
Welding cable 35mm2 red/black,Welding cable 35mm2 red/black,,,0,10,0,0,Stock Out
Welding cable 70mm2 red,Welding cable 70mm2 red,,,0,10,13,0,Stock Out
WELDING 70MM,WELDING 70MM,,,0,10,0,0,Stock Out
Welding cable 70mm2 black,Welding cable 70mm2 black,,,0,10,13,0,Stock Out
Weco  battery cable set,Weco  battery cable set,,,0,10,0,0,Stock Out
2.5mm2 Submersible 3 core,2.5mm2 Submersible 3 core,,,0,10,3.2,0,Stock Out
2.5mm2 Submersible 3 core,2.5mm2 Submersible 3 core,,,0,10,0,0,Stock Out
2.5mm2 Submersible 3 core,2.5mm2 Submersible 3 core,,,0,10,0,0,Stock Out
2.5mm2 Submersible 3 core,2.5mm2 Submersible 3 core,,,0,10,0,0,Stock Out
2.5mm2 Submersible 3 core,2.5mm2 Submersible 3 core,,,0,10,0,0,Stock Out
2.5mm2 Submersible 3 core,2.5mm2 Submersible 3 core,,,0,10,0,0,Stock Out
2.5mm2 Submersible 3 core,2.5mm2 Submersible 3 core,,,0,10,0,0,Stock Out
2.5mm2 Submersible 3 core,2.5mm2 Submersible 3 core,,,0,10,0,0,Stock Out
Flex Submersible cable flart black 2.5mm2,Flex Submersible cable flart black 2.5mm2,,,0,10,2.86,0,Stock Out
Duplex cable 4mm2,Duplex cable 4mm2,,,0,10,3.25,0,Stock Out
Suction Pipe 32mm,Suction Pipe 32mm,,,0,10,3.2,0,Stock Out
RACK FOR 6.9,RACK FOR 6.9,,,0,10,0,0,Stock Out
BSL battery wall mount bracket for 6.9kWh ,BSL battery wall mount bracket for 6.9kWh ,,,0,10,36.66,0,Stock Out
BSL Battery mounting rack 172Ah,BSL Battery mounting rack 172Ah,,,0,10,34.23,0,Stock Out
LEE2 Battery cabinet for 8.8kWh,LEE2 Battery cabinet for 8.8kWh,,,0,10,210,0,Stock Out
9 -Layer battery cluster rack,9 -Layer battery cluster rack,,,0,10,334,0,Stock Out
Weco mounting bracket,Weco mounting bracket,,,0,10,0,0,Stock Out
Powseen 12W3-12,Powseen 12W3-12,,,0,10,0,0,Stock Out
Weco ESS,Weco ESS,,,0,10,0,0,Stock Out
CO3 Interface brackets,CO3 Interface brackets,,,0,10,4,0,Stock Out
C34 Interface brackets,C34 Interface brackets,,,0,10,4,0,Stock Out
Joiners,Joiners,RJNR-200-ALU,,0,10,1,0,Stock Out
L Feets,L Feets,LFT-ALU-65,,0,10,3,0,Stock Out
End clamp for mounting rails,End clamp for mounting rails,CLMP-END-35,,0,10,1,0,Stock Out
Mid Clamps for mounting rails,Mid Clamps for mounting rails,CLMP-MID-35,,0,10,1,0,Stock Out
Mounting Rails,Mounting Rails,,,0,10,31,0,Stock Out
Solar PV Frame double sided 25 x 20 x590,Solar PV Frame double sided 25 x 20 x590,,,0,10,0,0,Stock Out
Solar PV frame double sidedd angle rail 25 x 20 x 30mm,Solar PV frame double sidedd angle rail 25 x 20 x 30mm,,,0,10,0,0,Stock Out
Solar PV frame double sidedd angle rail 25 x 25 x 310mm,Solar PV frame double sidedd angle rail 25 x 25 x 310mm,,,0,10,0,0,Stock Out
Mounting blocks,Mounting blocks,,,0,10,0,0,Stock Out
Cable Tray 5mm x 20mm x3mm,Cable Tray 5mm x 20mm x3mm,,,0,10,21,0,Stock Out
Cable Tray 10 x 40mm,Cable Tray 10 x 40mm,,,0,10,25,0,Stock Out
End clamps for mounting blocks,End clamps for mounting blocks,,,0,10,1.2,0,Stock Out
Mid Clamps for mounting blocks,Mid Clamps for mounting blocks,,,0,10,1.2,0,Stock Out
Trapez Eco System Mounting Rails,Trapez Eco System Mounting Rails,,,0,10,0,0,Stock Out
MC4 MALE,MC4 MALE,,,0,10,0,0,Stock Out
MC4 Connectors Male,MC4 Connectors Male,,,0,10,0,0,Stock Out
MC4 Connector Male Nova,MC4 Connector Male Nova,,,0,10,0,0,Stock Out
MC4 Connectors Female high voltage,MC4 Connectors Female high voltage,,,0,10,0,0,Stock Out
"MC4 Connector YF-1001 NOVA, Female ","MC4 Connector YF-1001 NOVA, Female ",,,0,10,0,0,Stock Out
"2.5m, MC4 Connector, L","2.5m, MC4 Connector, L",CB-MC4-2.5M-L,,0,10,15.5,0,Stock Out
"3.5m, MC4 connector, L","3.5m, MC4 connector, L",CB-MC4-3.5M-L,,0,10,18.75,0,Stock Out
5.0m MC4 Connector EF,5.0m MC4 Connector EF,CB-MC4-5.0M-EF,`,0,10,25.95,0,Stock Out
2in 2 Out DC Combiner box Riken,2in 2 Out DC Combiner box Riken,DC-CMB-RKN-2IN2OUT,,0,10,191.4,0,Stock Out
"DC Combiner box 1 in 1 out, Riken","DC Combiner box 1 in 1 out, Riken",,,0,10,78.3,0,Stock Out
"4 in 4 Out Distribution box, Riken","4 in 4 Out Distribution box, Riken",,,0,10,387,0,Stock Out
"Single phase AC Change over DB 24Way, Riken","Single phase AC Change over DB 24Way, Riken",,,0,10,0,0,Stock Out
Single phase AC DB,Single phase AC DB,,,0,10,0,0,Stock Out
Single phase 4kw (Loadshedder 4),Single phase 4kw (Loadshedder 4),,,0,10,120.43,0,Stock Out
"Three Phase Change Over, Riken","Three Phase Change Over, Riken",,,0,10,294.69,0,Stock Out
DC Combiner box 3 in 3 out,DC Combiner box 3 in 3 out,,,0,10,0,0,Stock Out
SF2 Future pump,SF2 Future pump,PUMP-SF2-FUTURE,,0,10,500,0,Stock Out
SE1 Future Pump,SE1 Future Pump,PUMP-SE1-FUTURE,,0,10,0,0,Stock Out
Sunflower pump set,Sunflower pump set,,,0,10,0,0,Stock Out
Light Worx 30W,Light Worx 30W,,,0,10,45,0,Stock Out
Solar flair flood lights,Solar flair flood lights,,,0,10,8.6,0,Stock Out
D.Light Solar Fan,D.Light Solar Fan,FAN-SOLAR-DLT-SF40/SF50,,0,10,41.35,0,Stock Out
A-Light solar LED,A-Light solar LED,,,0,10,1.88,0,Stock Out
Sun king pro 300,Sun king pro 300,LGT-SOLAR-SK-PRO300,,0,10,27,0,Stock Out
D.Light S3,D.Light S3,LGT-SOLAR-DLIGHT-S3,,0,10,4.51,0,Stock Out
"Streetlights 7W, PHILIPS","Streetlights 7W, PHILIPS",STL-PHILIPS-7W,,0,10,38,0,Stock Out
"Streetlights 15W, PHILIPS, 1600 Lumens","Streetlights 15W, PHILIPS, 1600 Lumens",STL-PHILIPS-15W,,0,10,65,0,Stock Out
"Streetlight 25W, PHILIPS,3600 Lumens","Streetlight 25W, PHILIPS,3600 Lumens",STL-PHILIPS-25W,,0,10,73,0,Stock Out
A0S All in One Intergrated Solar Street light,A0S All in One Intergrated Solar Street light,,,0,10,0,0,Stock Out
T5-300-3W,T5-300-3W,LGT-T5-300-3W,,0,10,0,0,Stock Out
T8 Tube lights,T8 Tube lights,LGT-TUBE-T8-4FT-18W,,0,10,7.5,0,Stock Out
Mobile Solar Home System steel unit,Mobile Solar Home System steel unit,,,0,10,310,0,Stock Out
Mobile Solar Home System Standard with 4 charging ports,Mobile Solar Home System Standard with 4 charging ports,,,0,10,115,0,Stock Out
Advanced Solar Home Systems without batteries,Advanced Solar Home Systems without batteries,,,0,10,195,0,Stock Out
12 VDC 32 inch flatscreen TV with 30W solar panel,12 VDC 32 inch flatscreen TV with 30W solar panel,,,0,10,577,0,Stock Out
Standard Solar Home System charge without batteries,Standard Solar Home System charge without batteries,,,0,10,150,0,Stock Out
Advanced Solar Home System with accessories,Advanced Solar Home System with accessories,,,0,10,195,0,Stock Out
12 VDC 22 inch flatscreen TV with 40W solar panel,12 VDC 22 inch flatscreen TV with 40W solar panel,,,0,10,442,0,Stock Out
"8"" TV set","8"" TV set",TV-8IN-DC,,0,10,0,0,Stock Out
Ceiling wall fan,Ceiling wall fan,FAN-CEILWALL-ROBOT,Robot,0,10,30,0,Stock Out
Dual power 0.5W 12V LED 8m bulb,Dual power 0.5W 12V LED 8m bulb,LGT-LED-0.5W-8M-DUAL,,0,10,7.5,0,Stock Out
Dual power 2W 12V LED bulb,Dual power 2W 12V LED bulb,LGT-LED-2W-12V-DUAL,,0,10,0,0,Stock Out
Dual power bulb  2.6W LED with 4m cable and plug,Dual power bulb  2.6W LED with 4m cable and plug,LGT-LED-2.6W-4M-DUAL,,0,10,0,0,Stock Out
BULBS WITH 8M CABLES,BULBS WITH 8M CABLES,,,0,10,0,0,Stock Out
Dual power LED with 8m cable and plug,Dual power LED with 8m cable and plug,,,0,10,8.5,0,Stock Out
Mobile solar Home system cables pin type,Mobile solar Home system cables pin type,,,0,10,5.5,0,Stock Out
Mobile solar Home System cables with plugs,Mobile solar Home System cables with plugs,,,0,10,5.5,0,Stock Out
Dual power 2.6W LED bulb with short cables,Dual power 2.6W LED bulb with short cables,,,0,10,3,0,Stock Out
Steel unit light switch,Steel unit light switch,,,0,10,0,0,Stock Out
Dual lights without cables with plugs,Dual lights without cables with plugs,,,3,10,3,9,Stock Available
Dual light with 4m cable pin type,Dual light with 4m cable pin type,,,0,10,0,0,Stock Out
Solar moduels 40W for Standard System charge,Solar moduels 40W for Standard System charge,SOL-40W-MONO,,0,10,0,0,Stock Out
Mobile Solar Home System mother board,Mobile Solar Home System mother board,,,0,10,0,0,Stock Out
Circuit board for mobile solar systems bad ones,Circuit board for mobile solar systems bad ones,,,0,10,0,0,Stock Out
Circuit board for mobile solar system,Circuit board for mobile solar system,,,0,10,0,0,Stock Out
Zuku cables,Zuku cables,CAB-ZUKU-RG6-50M,,0,10,0,0,Stock Out
Mobile Solar System mother board cables,Mobile Solar System mother board cables,,,0,10,0,0,Stock Out
Mobile Solar Systems battery cables,Mobile Solar Systems battery cables,,,0,10,0,0,Stock Out
Insele Charging pcs,Insele Charging pcs,,,0,10,0,0,Stock Out
Prime Stove,Prime Stove,STV-PRIME-PORT,,0,10,110,0,Stock Out
Mini Moto Stove,Mini Moto Stove,STV-MINI-PORT,,0,10,105,0,Stock Out
5kg Pellets,5kg Pellets,,,0,10,0,0,Stock Out
"Riken 16A breaker, 2P, AC","Riken 16A breaker, 2P, AC",BRK-RIK-16A-2P-AC,RIKEN,0,10,4,0,Stock Out
"Riken 32A 2P Breaker,AC","Riken 32A 2P Breaker,AC",BRK-RIK-32A-2P-AC,RIKEN,0,10,6,0,Stock Out
Circuit breaker 40A breaker 2P,Circuit breaker 40A breaker 2P,RIK-MCB-40A-2P,RIKEN,0,10,7,0,Stock Out
Riken 63A Breaker 2P,Riken 63A Breaker 2P,RIK-MCB-63A-2P,,0,10,8.5,0,Stock Out
Riken 20A 3P,Riken 20A 3P,RIK-MCB-20A-3P,,0,10,8.5,0,Stock Out
Riken 40A Changeover 4p,Riken 40A Changeover 4p,RIK-MCB-40A-4P,RIKEN,0,10,22,0,Stock Out
Riken 63A Changeover 2p,Riken 63A Changeover 2p,,,0,10,26,0,Stock Out
"Circuit breaker 6A AC, 1P","Circuit breaker 6A AC, 1P",RIK-MCB-63A-3P,CHINT,0,10,2,0,Stock Out
"Circuit breaker 63A AC, 1P","Circuit breaker 63A AC, 1P",CHT-MCB-63A-1P,CHINT,0,10,2.85,0,Stock Out
"Circuit breaker  32A  AC, 1P","Circuit breaker  32A  AC, 1P",CHT-MCB-32A-1P,CHINT,0,10,2.85,0,Stock Out
Circuit breaker  10A AC 1P,Circuit breaker  10A AC 1P,CHT-MCB-10A-1P,CHINT,0,10,2.85,0,Stock Out
Circuit breaker 100A 1P,Circuit breaker 100A 1P,CHT-MCB-100A-1P,,0,10,4.5,0,Stock Out
Circuit breaker 125A 1P AC,Circuit breaker 125A 1P AC,CHINT-MCB-125A-1P,,0,10,6,0,Stock Out
Circuit breaker 32A AC 2P,Circuit breaker 32A AC 2P,CHT-MCB-32A-2P,,0,10,5,0,Stock Out
